id_compra, id_producto, nombre, precio, cantidad,
1, 1, Manga One Piece Vol. 1, 10.50, 1,
2, 2, Funko Pop Marvel: Iron Man, 20.50, 2,
3, 3, Manga Attack on Titan Vol. 1, 30.50, 3,
4, 4, Funko Pop Disney: Mickey Mouse, 40.50, 4,
5, 5, Manga Naruto Vol. 1, 50.50, 5,
6, 1, Manga Dragon Ball Vol. 1, 60.50, 1,
7, 2, Funko Pop Star Wars: Darth Vader, 70.50, 2,
8, 3, Manga Death Note Vol. 1, 80.50, 3,
9, 4, Funko Pop Harry Potter: Hermione Granger, 90.50, 4,
10, 5, Manga Bleach Vol. 1, 100.50, 5,
11, 1, Manga One Punch Man Vol. 1, 110.50, 1,
12, 2, Funko Pop Game of Thrones: Jon Snow, 120.50, 2,
13, 3, Manga My Hero Academia Vol. 1, 130.50, 3,
14, 4, Funko Pop DC Comics: Batman, 140.50, 4,
15, 5, Manga Sailor Moon Vol. 1, 150.50, 5,
16, 1, Manga Tokyo Ghoul Vol. 1, 160.50, 1,
17, 2, Funko Pop Stranger Things: Eleven, 170.50, 2,
18, 3, Manga Fullmetal Alchemist Vol. 1, 180.50, 3,
19, 4, Funko Pop Marvel: Captain America, 190.50, 4,
20, 5, Manga Hunter x Hunter Vol. 1, 200.50, 5,
21, 1, Manga Fairy Tail Vol. 1, 210.50, 1,
22, 2, Funko Pop Pixar: Woody, 220.50, 2,
23, 3, Manga Sword Art Online Vol. 1, 230.50, 3,
24, 4, Funko Pop Disney: Elsa, 240.50, 4,
25, 5, Manga JoJo\s Bizarre Adventure Vol. 1, 250.50, 5,
26, 1, Manga Black Clover Vol. 1, 260.50, 1,
27, 2, Funko Pop Marvel: Spider-Man, 270.50, 2,
28, 3, Manga Demon Slayer Vol. 1, 280.50, 3,
29, 4, Funko Pop Star Wars: Yoda, 290.50, 4,
30, 5, Manga Dragon Ball Super Vol. 1, 300.50, 5,
31, 1, Manga Attack on Titan Vol. 1, 310.50, 1,
32, 2, Funko Pop Disney: Ariel, 320.50, 2,
33, 3, Manga One Piece Vol. 1, 330.50, 3,
34, 4, Funko Pop Harry Potter: Voldemort, 340.50, 4,
35, 5, Manga Naruto Vol. 1, 350.50, 5,
36, 1, Manga My Hero Academia Vol. 1, 360.50, 1,
37, 2, Funko Pop Game of Thrones: Daenerys, 370.50, 2,
38, 3, Manga Death Note Vol. 1, 380.50, 3,
39, 4, Funko Pop Star Wars: Chewbacca, 390.50, 4,
40, 5, Manga Bleach Vol. 1, 400.50, 5,
41, 1, Manga One Punch Man Vol. 1, 410.50, 1,
42, 2, Funko Pop Marvel: Black Panther, 420.50, 2,
43, 3, Manga Tokyo Ghoul Vol. 1, 430.50, 3,
44, 4, Funko Pop Disney: Goofy, 440.50, 4,
45, 5, Manga Fairy Tail Vol. 1, 450.50, 5,
46, 1, Manga Attack on Titan Vol. 1, 460.50, 1,
47, 2, Funko Pop Pixar: Buzz Lightyear, 470.50, 2,
48, 3, Manga Fullmetal Alchemist Vol. 1, 480.50, 3,
49, 4, Funko Pop Marvel: Thor, 490.50, 4,
50, 5, Manga Hunter x Hunter Vol. 1, 500.50, 5;



