id, nombre, descripcion, precio, descuento, id_categoria, activo 
1, My Hero Academia, Un mundo donde casi todos tienen poderes. Un chico sin poderes quiere ser un héroe., 8.99, 0, 1, 1,
2, Tokyo Ghoul, Un joven se convierte en mitad ghoul. Debe navegar su nueva vida entre humanos y ghouls., 10.99, 0, 1, 1,
3, Death Note, Un estudiante obtiene un cuaderno que mata a cualquiera cuyo nombre escribe en él., 7.99, 0, 1, 1,
4, Fullmetal Alchemist, Hermanos alquimistas buscan la piedra filosofal para restaurar sus cuerpos., 11.99, 0, 1, 1,
5, Sword Art Online, Jugadores atrapados en un MMORPG mortal. Deben vencer al juego para sobrevivir., 9.49, 0, 1, 1,
6, Bleach, Adolescente obtiene poderes de shinigami. Debe proteger a los vivos y las almas., 9.79, 0, 1, 1,
7, Fairy Tail, Gremio de magos realiza misiones y enfrenta enemigos poderosos. Amistad y magia., 10.49, 0, 1, 1,
8, Black Clover, Huérfano sin magia sueña con ser el Rey Mago. Determinación y aventuras mágicas., 9.89, 0, 1, 1,
9, Blue Exorcist, Hijo de Satanás decide convertirse en exorcista. Lucha contra fuerzas demoníacas., 7.49, 0, 1, 1,
10, Hunter x Hunter, Joven busca a su padre en un mundo de cazadores. Aventuras y desafíos increíbles., 11.49, 0, 1, 1,
11, Soul Eater, Estudiantes de una academia entrenan para convertirse en Death Scythes. Aventura y acción., 9.99, 0, 1, 1,
12, The Promised Neverland, Niños en un orfanato descubren un oscuro secreto. Plan de escape para sobrevivir., 10.99, 0, 1, 1,
13, Re:Zero, Joven es transportado a otro mundo. Descubre que puede regresar en el tiempo al morir., 8.49, 0, 1, 1,
14, Mob Psycho 100, Chico con poderes psíquicos intenta llevar una vida normal. Batallas sobrenaturales., 9.99, 0, 1, 1,
15, One Punch Man, Héroe puede derrotar a cualquier enemigo de un solo golpe. Busca un verdadero desafío., 9.49, 0, 1, 1,
16, Vinland Saga, Vikingo busca venganza por la muerte de su padre. Aventuras épicas en la era vikinga., 12.99, 0, 1, 1,
17, Chainsaw Man, Joven fusionado con un demonio motosierra lucha contra otros demonios. Acción y horror., 10.99, 0, 1, 1,
18, Dr. Stone, Después de que la humanidad es petrificada, dos jóvenes intentan revivir la civilización., 9.49, 0, 1, 1,
19, Fire Force, Bomberos con poderes especiales combaten incendios y amenazas sobrenaturales., 8.99, 0, 1, 1,
20, Haikyuu!!, Chico bajo sueña con ser una estrella del voleibol. Espíritu de equipo y competencia., 7.99, 0, 1, 1,
21, Assassination Classroom, Clase de estudiantes debe asesinar a su maestro alienígena antes de que destruya la Tierra., 10.99, 0, 1, 1,
22, Noragami, Dios menor intenta ganar seguidores realizando pequeños trabajos. Aventuras divinas., 9.99, 0, 1, 1,
23, The Seven Deadly Sins, Caballeros legendarios buscan redimirse y salvar su reino. Aventuras y magia., 9.79, 0, 1, 1,
24, Yona of the Dawn, Princesa exiliada busca venganza y redención. Aventuras en un reino en guerra., 8.99, 0, 1, 1,
25, Kaguya-sama: Love is War, Dos estudiantes genios intentan hacer que el otro confiese su amor primero. Comedia romántica., 7.99, 0, 1, 1,
26, The Rising of the Shield Hero, Héroe invocado a otro mundo debe protegerse con un escudo. Aventuras y traiciones., 10.49, 0, 1, 1,
27, That Time I Got Reincarnated as a Slime, Hombre renace como un slime en un mundo de fantasía. Construye un reino y enfrenta enemigos., 9.89, 0, 1, 1,
28, Toilet-bound Hanako-kun, Estudiante invoca al fantasma de un chico en un baño escolar. Misterios sobrenaturales., 8.49, 0, 1, 1,
29, Bungo Stray Dogs, Agencia de detectives con poderes sobrenaturales resuelve casos extraños y peligrosos., 9.99, 0, 1, 1,
30, Beastars, En una escuela de animales antropomórficos, un lobo lidia con sus instintos y amores., 11.49, 0, 1, 1,
31, Fruits Basket, Huérfana descubre que su nueva familia está maldita y se transforman en animales del zodiaco., 10.99, 0, 1, 1,
32, Ouran High School Host Club, Chica pobre ingresa a un club de anfitriones en una escuela de élite. Comedia y romance., 9.49, 0, 1, 1,
33, Nisekoi, Dos estudiantes deben fingir ser pareja para evitar una guerra de bandas. Comedia romántica., 7.99, 0, 1, 1,
34, Made in Abyss, Niña y robot exploran un abismo misterioso en busca de su madre. Aventuras y descubrimientos., 12.99, 0, 1, 1,
35, Kakegurui, Estudiantes en una academia elite apuestan sus fortunas y vidas. Psicología y tensión., 10.99, 0, 1, 1,
36, Ao Haru Ride, Chica intenta reencontrarse con su amor de la secundaria. Romance y autodescubrimiento., 8.99, 0, 1, 1,
37, Horimiya, Dos estudiantes con vidas secretas se conocen y desarrollan una relación especial., 9.99, 0, 1, 1,
38, Platinum End, Joven intenta convertirse en dios con la ayuda de un ángel. Competencia divina., 9.79, 0, 1, 1,
39, A Silent Voice, Chico intenta redimirse por acosar a una compañera sorda en el pasado. Drama y perdón., 8.49, 0, 1, 1,
40, Violet Evergarden, Ex-soldado escribe cartas que conectan corazones. Búsqueda de significado y amor., 10.49, 0, 1, 1,
41, March Comes in Like a Lion, Joven prodigio del shogi lidia con la soledad y la competencia. Drama y crecimiento personal., 9.89, 0, 1, 1,
42, Akame ga Kill!, Grupo de asesinos lucha contra un imperio corrupto. Batallas y sacrificios., 8.99, 0, 1, 1,
43, Gintama, En una versión alternativa del Japón Edo samuráis enfrentan invasiones alienígenas. Comedia y acción., 9.49, 0, 1, 1,
44, Toradora!, Dos estudiantes con personalidades opuestas se ayudan mutuamente en sus vidas amorosas., 7.99, 0, 1, 1,
45, Hellsing, Organización lucha contra vampiros y amenazas sobrenaturales. Sangre y horror., 11.99, 0, 1, 1,
46, Berserk, Guerrero con una espada gigantesca busca venganza en un mundo oscuro y brutal., 12.99, 0, 1, 1,
47, Shaman King, Chico con poderes de chamán compite en un torneo para convertirse en el Rey Chamán., 9.99, 0, 1, 1,
48, Trigun, Pistolero pacifista busca la paz en un mundo desértico mientras es perseguido por cazarrecompensas., 8.99, 0, 1, 1,
49, Code Geass, Exiliado príncipe obtiene poder para controlar a otros. Lucha contra el imperio tiránico., 10.99, 0, 1, 1,
50, Erased, Hombre viaja en el tiempo para evitar una tragedia en su infancia. Misterio y suspense., 7.99, 0, 1, 1;
